Feature,Score
prev_stage,0.8616903048729962
delta_power_log,0.3464861809411437
slow_fast_ratio,0.26686678436592315
delta_power,0.22436834980585507
theta_power_log,0.18625183122858013
std,0.1659929386978627
delta_theta_ratio,0.14763898273179432
theta_power,0.10412776739761487
alpha_power_log,0.10333420496744194
beta_power_log,0.09580824490163176
gamma_power_log,0.09205867284849223
theta_alpha_ratio,0.0788107602126158
gamma_power,0.05192609937670101
beta_power,0.04916009191937354
alpha_power,0.046996924315175104
mean,0.007853694675076461
