Feature,Score
prev_stage,0.8616688657103659
delta_power_log,0.34648863476829583
slow_fast_ratio,0.266866288643266
delta_power,0.22436728060012423
theta_power_log,0.18625107584167422
std,0.16599274217369286
delta_theta_ratio,0.14763800795272086
theta_power,0.10412913063492146
alpha_power_log,0.10333357180938352
beta_power_log,0.09580738069270378
gamma_power_log,0.0920593544671453
theta_alpha_ratio,0.07881068555914394
gamma_power,0.05192466840069576
beta_power,0.049157887723987326
alpha_power,0.0469958029220221
mean,0.007846766211808465
