Feature,Score
prev_stage,0.8605990753454853
delta_power_log,0.34648863476829583
slow_fast_ratio,0.26686584957462656
delta_power,0.22436796030948147
theta_power_log,0.18625193863515577
std,0.1659923227160598
delta_theta_ratio,0.147640736303134
theta_power,0.10412776739761487
alpha_power_log,0.10333329916192247
beta_power_log,0.09580669907405026
gamma_power_log,0.0920555649920125
theta_alpha_ratio,0.07881032202919558
gamma_power,0.051923443291881366
beta_power,0.04915650034381169
alpha_power,0.04699510666543283
mean,0.007854797307196293
