Feature,Score
prev_stage,0.8605545297446657
delta_power_log,0.34648863476829583
slow_fast_ratio,0.2668683573320463
delta_power,0.22436791677753387
theta_power_log,0.18625210387604207
std,0.16599303112073072
delta_theta_ratio,0.1476361527199943
theta_power,0.10412913063492146
alpha_power_log,0.10333358296517181
beta_power_log,0.09580747806679701
gamma_power_log,0.09205685519874951
theta_alpha_ratio,0.0788107602126158
gamma_power,0.051923021499868494
beta_power,0.049160459202544526
alpha_power,0.046996603553455696
mean,0.00784903870080278
