epoch,sleep_stage,mean,std,delta_power,theta_power,alpha_power,beta_power,gamma_power,delta_power_log,theta_power_log,alpha_power_log,beta_power_log,gamma_power_log,delta_theta_ratio,theta_alpha_ratio,slow_fast_ratio,prev_stage,stft_entropy
819,1,-2.956825478225477e-05,1.940142448371325e-05,0.2555079070222689,0.1260818617128107,0.0987210991766079,0.2016290531045377,0.1199956825467958,-0.059172531427691494,0.15896417972213733,0.13867786470925073,0.3528407926000307,0.21926646026609142,2.0265078342230227,1.2771391893446047,1.2704787906985957,,
820,1,-2.98948835978836e-05,1.6322185094722912e-05,0.2284976961297563,0.0942662330551013,0.102758082016395,0.2011564453050749,0.1107509639476839,-0.1708996347283328,-0.13184387899411323,0.1787566435071001,0.3504940959799702,0.1390948766497556,2.423935536499669,0.9173518408821648,1.0620185550554335,1.0,
821,1,-2.989177574277574e-05,1.5796615887194572e-05,0.2382806427116153,0.09171067460511,0.0817748775127724,0.172680589984519,0.1022808749806836,-0.12897666108426448,-0.1593281123105567,-0.0496505737085047,0.1978548592806575,0.05953354114909705,2.5981495129992838,1.1214881135428463,1.296847828480673,1.0,
822,1,-3.044237281237281e-05,1.797940604890302e-05,0.2747474017788199,0.1113128374164457,0.0916558963677809,0.1546454058355093,0.1017269400574091,0.013426174428047128,0.034377493077443276,0.06442054535731535,0.08754615949095187,0.05410300643002238,2.4682232519838387,1.2144513051128603,1.5674244038394072,1.0,
823,1,-2.991440903540903e-05,1.7730933363039433e-05,0.2809994158540352,0.1085582896745752,0.0832094487252642,0.1497935111323081,0.0943763673124769,0.03592660643086679,0.009320186041519723,-0.0322597596048592,0.055669150598628654,-0.020898389537742628,2.588441916821475,1.3046232935601865,1.6718930689707345,1.0,
824,1,-2.9897822547822547e-05,2.1438538712480227e-05,0.3043773392156796,0.1229159772544056,0.1077381373376444,0.180019281972791,0.0859709809604492,0.1158421209307128,0.13353381976185985,0.22608272608170749,0.23947520574023318,-0.11417917662792262,2.4762839602352007,1.1408665438743806,1.484902917850403,1.0,
825,1,-2.9669124949124947e-05,1.7144778274362346e-05,0.2551127642182181,0.1030622256687251,0.0794218602039602,0.1734355807691898,0.0908736228317948,-0.06072022616716235,-0.04263408335135153,-0.0788469703498097,0.20221750643680642,-0.058719264516324095,2.4753035096943696,1.2976393119570149,1.416503987402882,1.0,
826,1,-2.815157956857956e-05,1.8308593976229497e-05,0.2764902032706937,0.1306844309621158,0.0721735996987529,0.1506129687633188,0.0919531533116638,0.01974942076941155,0.1948182506781897,-0.17454618558439602,0.06112481780574098,-0.04690981394497189,2.115692631038918,1.810670672335906,1.8276362413018956,1.0,
827,1,-2.843729955229955e-05,1.873608512592938e-05,0.2946433131923409,0.1272311192409966,0.0953900652796863,0.1447507073352067,0.088840114702345,0.08333948819479305,0.16803804899874752,0.10435363622956065,0.02142443331911798,-0.08135073131125674,2.3157934879182713,1.3337844468761866,1.7567723759159668,1.0,
828,1,-2.7797385429385424e-05,1.956551689743139e-05,0.2907727451374238,0.1308375922909729,0.0953536988503406,0.1691133813202288,0.087810891462851,0.07011600101560017,0.19598955715928276,0.10397232471268684,0.17698067463068964,-0.09300346723435497,2.2223775114514543,1.3721147868792785,1.5941823193047646,1.0,
829,1,-2.899995645095645e-05,1.7170504101282794e-05,0.2560226047672924,0.1209575465165401,0.0820243038524151,0.1490003122722388,0.0798244165550843,-0.05716014952149357,0.11747245253396504,-0.04660506067689413,0.05035980409280673,-0.18835946940773382,2.1166144281692683,1.4746369819510117,1.631767756353158,1.0,
830,1,-2.833112576312576e-05,1.8532727470437603e-05,0.2907913985444227,0.127321131962337,0.0936435378933752,0.1618102357441963,0.0911726939858971,0.07018015005167193,0.16874527235743997,0.0858746412991817,0.13283559141492216,-0.055433605001250094,2.283902995203076,1.3596215521647013,1.6367379812598852,1.0,
831,2,-2.8389296703296703e-05,2.102763530003186e-05,0.3134596213351381,0.1418095361853273,0.1222789972714021,0.19911579804782,0.089690779939742,0.14524446821886808,0.2765175557828556,0.35268429934215567,0.3402977182580035,-0.07182105569443012,2.2104113683449342,1.1597116400859833,1.4165373789917675,1.0,
832,2,-2.858924664224664e-05,1.8153760201606817e-05,0.2674626402667238,0.1242286251580097,0.0890818908620736,0.1529728377814536,0.0873748277881607,-0.013446041235621053,0.14415641958008968,0.03593533324869799,0.0766717524610755,-0.09798177365564475,2.152969872737953,1.3945284437429402,1.618186306185601,2.0,
833,2,-2.871312169312169e-05,2.783797731020735e-05,0.3775383006944339,0.1556293408662724,0.0964885868218164,0.1491904146244188,0.084596091864014,0.33124579156359074,0.36950978559096376,0.11580392054451719,0.05163484171226718,-0.13030089694395616,2.4258656672791012,1.6129133307790726,2.1701711104775665,2.0,
834,2,-2.957220716320716e-05,2.578888335773968e-05,0.3447962694722076,0.1321970730263656,0.1322276350186205,0.1676784284822591,0.0885273443934193,0.24052755674713158,0.20632653481483645,0.4309038947891009,0.16845932540583938,-0.08487753712827996,2.6081792387657674,0.9997613074335188,1.5904705175347569,2.0,
835,2,-2.9204027676027672e-05,2.125098881535255e-05,0.3231708854985843,0.1218660859674693,0.0822615557719278,0.1471535857922354,0.0891623056809639,0.17575513061505565,0.12495560297095538,-0.043716780008355834,0.03788825695745881,-0.07773065714689577,2.6518307460379433,1.4814283950202316,1.9398677374302604,2.0,
836,2,-2.92787851037851e-05,2.513971868050877e-05,0.3883711515295954,0.155081683209128,0.1108317279205728,0.1508768755624862,0.085192090396206,0.3595352077030163,0.3659845946404405,0.2543921616041435,0.06287550111064605,-0.12328038119734733,2.50428444680622,1.399240875134516,2.0765490738818158,2.0,
