epoch,sleep_stage,mean,std,delta_power,theta_power,alpha_power,beta_power,gamma_power,delta_power_log,theta_power_log,alpha_power_log,beta_power_log,gamma_power_log,delta_theta_ratio,theta_alpha_ratio,slow_fast_ratio,prev_stage,stft_entropy
342,2,4.781809523809646e-07,1.6889230121827563e-05,0.2494506156848275,0.163959803768031,0.0761648607272355,0.1395130531847234,0.1018961165074413,-0.206244152876412,0.11975665300528017,0.017467220988558765,0.2797313904402642,0.2949382167336216,1.5214039572393538,2.1526679039996983,1.9167864486818331,,
343,2,1.109214814814827e-06,2.2602597083578223e-05,0.3135713454923955,0.1758846232149328,0.0774908236268915,0.1409424740407937,0.1035400936854354,0.022521544836354334,0.1899635242073186,0.034726517687687405,0.2899250362757231,0.31094329252595976,1.782813966035247,2.2697184681287674,2.240746869577971,2.0,
344,2,2.737386243386367e-07,1.9088643130142618e-05,0.2558370013040398,0.181366631295856,0.0868740517557728,0.1364725459135164,0.0993436498329204,-0.1809646179949538,0.22065583885443166,0.14902627761386675,0.25769670473971673,0.2695694570047278,1.4105990108384092,2.087672210034733,1.9575031796279412,2.0,
345,2,5.038666666666789e-07,1.763949102619317e-05,0.2297793809338476,0.1530116971586766,0.0712359058785205,0.1389414719599502,0.0975615121803283,-0.28838537487881316,0.05064978816108186,-0.04943593468802329,0.2756260048712887,0.251467494363318,1.5017013960322698,2.1479273316503353,1.8212676395604894,2.0,
346,2,6.77314285714298e-07,1.398361505768946e-05,0.1759206050096139,0.1750075519208866,0.068061453537725,0.1366871548809282,0.0842114520214586,-0.555471816280669,0.18496442502172758,-0.09502184747808583,0.25926801152631557,0.10431546617059466,1.0052114772604919,2.5712789184698597,1.713938110264684,2.0,
347,2,5.634010582010704e-07,1.3735263072920015e-05,0.1906053915716253,0.1474919602756351,0.0603177804548719,0.1163088675656879,0.0682991778406336,-0.475299457722331,0.013909120937601261,-0.21580580500458876,0.09782267712106811,-0.10511751665304683,1.292301620466642,2.4452079296593654,1.9141813619570207,2.0,
348,2,8.374126984127106e-07,2.3800940322874733e-05,0.3754024115384237,0.179954839690121,0.0968709193360994,0.1268845603498802,0.0629000353387349,0.20249302033754873,0.21284120414774224,0.257946163724337,0.184850997049677,-0.18746842480346884,2.086080741724505,1.8576574194402349,2.4819717042739255,2.0,
349,2,6.78756613756626e-07,1.6847765090176668e-05,0.2347193411332531,0.1548596276645643,0.0701438812355476,0.153925784573571,0.1002446306510687,-0.26711453085490694,0.062654484949797,-0.0648843269486592,0.378043719453638,0.2785979054797461,1.5156811945878632,2.2077110251928898,1.73864333107169,2.0,
350,2,6.482835978836101e-07,2.0806329874274235e-05,0.319809271477005,0.2231727825599471,0.0795716340027536,0.1220405407343906,0.0792440829810229,0.04221940572111511,0.428081399955964,0.06122464048631263,0.14592662120916258,0.04351734815968755,1.4330055609963974,2.804642391908558,2.693187361118002,2.0,
351,2,3.823428571428693e-07,2.1680004630633847e-05,0.3040103831109765,0.2357450772445323,0.0901684894411219,0.1289027053011927,0.0596228051201624,-0.008443480130687565,0.4828861241039916,0.18624688237935838,0.20063118188855453,-0.2409769469051102,1.2895670912718336,2.6144661426575686,2.463824589836243,2.0,
352,2,8.154095238095362e-07,2.4588682175609203e-05,0.3742493904243523,0.238672819137071,0.1005464651329427,0.1201158810676986,0.0564214600836688,0.19941686931072583,0.495228732960716,0.2951867319603129,0.13003029680335979,-0.2961654277627679,1.5680370464488185,2.373732831767569,2.7776348909533666,2.0,
353,2,6.084814814814937e-07,2.276756866737728e-05,0.354606965194513,0.1647507707711086,0.0825907981230477,0.1304950404166021,0.059020559567386,0.14550455602834234,0.12456920173928492,0.09846520496323291,0.2129084961531312,-0.2511292206007297,2.1523711917316644,1.9947594617767983,2.437305558264139,2.0,
354,2,7.312021164021286e-07,2.1727722937903457e-05,0.3162803909376924,0.2138356807014289,0.0876772271285211,0.1283634807380768,0.0597675736774122,0.031123758203700266,0.3853430201656005,0.15822907873447964,0.19643922087790358,-0.23855181942556125,1.4790745437135797,2.4388686644859137,2.453767269635079,2.0,
355,2,6.251449735449857e-07,2.4406942792879603e-05,0.3924499930435132,0.1900399223307011,0.090500075625231,0.1335070155228458,0.0554893150281357,0.24690355965967262,0.2673694000709518,0.1899175406542101,0.23572728354152844,-0.3128245090421078,2.0650815005022363,2.09986368689876,2.6003074817023863,2.0,
356,2,6.168899470899594e-07,2.5483340449941896e-05,0.3951128699891585,0.1909258883743158,0.0963502228587844,0.1372301678121648,0.0577137066613877,0.25366590243888326,0.2720205626655107,0.2525565119662241,0.26323280805002186,-0.2735203461809735,2.0694459190815087,1.98156165235332,2.5089274307345777,2.0,
357,2,7.315396825396947e-07,2.1814000656275346e-05,0.3471064652612807,0.1978990463330278,0.0829399959278565,0.1211592371342094,0.0593031121820392,0.12412608806844873,0.30789223571951385,0.10268433541606513,0.13867902664942028,-0.24635329055729435,1.7539483779461433,2.3860220644705517,2.6702836318103316,2.0,
358,2,5.0837777777779e-07,2.3283589389639427e-05,0.3504009790673737,0.2238074154045243,0.1012777455719565,0.1341259131614831,0.0569008177142522,0.1335726837609405,0.430921046369289,0.30243346508853186,0.24035226191836262,-0.2877053110559622,1.5656291495296932,2.2098162268954415,2.4392397226178213,2.0,
359,2,7.421576719576842e-07,2.609449401373278e-05,0.4163452657346542,0.1997098092491658,0.0998978075798515,0.1260872250381595,0.0565990993051598,0.3060092737148488,0.31700055453323883,0.28871451577550084,0.1785472324936704,-0.29302194430745676,2.0847407674123843,1.9991210514653337,2.726075889942946,2.0,
360,2,6.809354497354618e-07,2.478145807876658e-05,0.3908249183595069,0.2057820065114662,0.0955046182999334,0.1230180303845258,0.0541762238895432,0.24275412063164384,0.34695256156107046,0.24374141645268677,0.15390425682856115,-0.3367728175293095,1.899208904491004,2.1546586491405364,2.7301709836103525,2.0,
361,2,4.818634920635043e-07,2.364446287322557e-05,0.3811546291310472,0.189777267363634,0.0945677199276847,0.1189676005951292,0.0550174806420464,0.217699603492887,0.26598634098416213,0.2338830095843965,0.12042454503151447,-0.3213640129276127,2.0084208504270777,2.0067657414497506,2.6736992334457863,2.0,
362,2,5.845756613756734e-07,2.6073576480088108e-05,0.3998332735822612,0.1966034206129186,0.075341180937254,0.1172083540863391,0.0540987776162645,0.26554206655846685,0.3013238133065829,0.00659389762352403,0.10552652140638266,-0.3382033633963006,2.0336942187554694,2.6094734472400343,3.0975592673481724,2.0,
363,2,5.136253968254091e-07,2.4212914176824465e-05,0.3941631734971327,0.1923511322202408,0.0873691737686219,0.1262559947450024,0.0562336534237324,0.25125940291217114,0.27945773868670754,0.15470940151857296,0.17988485187629544,-0.29949961429207544,2.049174963373012,2.2015651786344708,2.745517133028428,2.0,
364,2,7.113164021164143e-07,2.5062978634189123e-05,0.3876672123275574,0.2364524903473303,0.1332056694807376,0.1348861505975888,0.0551017402187039,0.2346417178520691,0.48588238348678686,0.5764609100363463,0.2460043420015768,-0.3198336810502665,1.6395072526022216,1.7750799661087737,2.3279985733767283,2.0,
365,2,6.716677248677373e-07,2.545627513087902e-05,0.404605657652529,0.208070931650655,0.0964222827464956,0.1096027701410483,0.0548389291017286,0.2774073213013671,0.358014205244143,0.2533041272434672,0.038436077850386614,-0.32461464621034436,1.9445470344930849,2.1578909753331033,2.9737821053029827,2.0,
366,3,8.808052910053033e-07,2.4583029080082768e-05,0.4024942121319189,0.1601713093769141,0.080423708280186,0.1067419854855658,0.0504822611128147,0.2721751342761946,0.09637930124804228,0.07187596975326094,0.011988026308364654,-0.407392844150656,2.512882618085864,1.9915684222180143,3.00622675000626,2.0,
367,2,6.950518518518643e-07,2.52629369430212e-05,0.4072306167363467,0.1982369531277571,0.0972942222094605,0.1209134688201298,0.0536904252211493,0.28387405931663545,0.3095982489523295,0.26230640278976575,0.1366484946785117,-0.3457802590984948,2.05425152101879,2.0374788054955646,2.7747179409183067,3.0,
368,2,4.658444444444567e-07,2.0772035888911065e-05,0.3039723309700989,0.1888346470803191,0.0970235017622525,0.1181698839238565,0.0522562913711654,-0.008568655079477358,0.2610069862903943,0.2595200340707567,0.11369664225116625,-0.37285461203853076,1.609719010525633,1.9462573231557212,2.2900549959943923,2.0,
369,2,7.785227513227638e-07,2.4340077241391164e-05,0.3882275154586681,0.1862544486206877,0.099649251567879,0.1207467334770769,0.0615587827663309,0.23608599312716297,0.2472489901941736,0.2862233144005067,0.13526858005139658,-0.20902258840442423,2.084382058799793,1.8690815696919372,2.6065781433542514,2.0,
370,2,9.191343915344036e-07,2.4139220818498368e-05,0.3915624530390169,0.1645183139868533,0.0996131221487537,0.1056166988207788,0.0536223719424375,0.24463946374149545,0.1231572464221336,0.2858606830446135,0.0013899565071629346,-0.3470485736594168,2.380039422424935,1.651556129171908,2.7095382866904916,2.0,
371,2,2.624148148148273e-07,2.2404637737104263e-05,0.3497979840011511,0.174148698294602,0.1004149196324006,0.1098008881247507,0.0520313750661214,0.1318503313467295,0.18004482445680867,0.2938775707849147,0.040242044520586516,-0.37716799509123383,2.0086051680055856,1.7342737977416331,2.492410991708293,2.0,
372,2,6.449693121693244e-07,2.5226431749838147e-05,0.3997516363134394,0.1921064307593193,0.1014345591319733,0.1109071599256515,0.0536143487658576,0.26533786759100253,0.278184769535525,0.3039806180916771,0.05026687159963738,-0.3471982083216696,2.0808754493951147,1.8938765892676566,2.7872774244364007,2.0,
373,2,8.684380952381074e-07,2.4734740519651283e-05,0.385137650631242,0.1647409044865156,0.1042170636277942,0.1114670750761465,0.0507329194603706,0.2280952561398681,0.1245093138779161,0.33104261979436383,0.05530266904817287,-0.4024398621417282,2.3378244401852606,1.5807327324260552,2.54945036279271,2.0,
374,3,5.868772486772611e-07,3.0587549132058697e-05,0.5092406401738668,0.1685294928274855,0.083200766569435,0.1018072498096001,0.0512629754471193,0.5074149329552754,0.14724609623669663,0.10582348822658168,-0.035345179884588955,-0.3920461110896368,3.021652827510246,2.0255518575659246,3.663443794613656,2.0,
375,3,4.321492063492186e-07,2.427425745313044e-05,0.3849322200875398,0.1604936530827038,0.0904625107004339,0.1094568800318946,0.0543145646185389,0.22756171913807025,0.09838977048958654,0.1895023731322848,0.03710411196689338,-0.33422254367861187,2.3984114903141482,1.7741258529549198,2.728215321970379,3.0,
376,3,1.179919576719589e-06,2.9489335705431032e-05,0.4609579763990948,0.1721428640584946,0.1008140160341173,0.1131962809645226,0.0511387565672295,0.40780120206347303,0.16846004907012507,0.29784416362890975,0.07069670965660296,-0.39447221764677765,2.6777485152910296,1.70751214283633,2.9582589766820253,3.0,
377,2,2.715597883598007e-07,2.382869407221293e-05,0.373512931431343,0.1652392647856121,0.0898408999096736,0.0999048680391169,0.0532428351476146,0.1974471026998743,0.12752986047470244,0.18260718756283142,-0.05420806435500011,-0.354151687236143,2.260423220187588,1.839222734066649,2.839322124118369,3.0,
378,3,9.651968253968374e-07,2.7849118575430352e-05,0.4404368071901488,0.1981912384971806,0.1167612894548097,0.1059618425570029,0.0507665406826721,0.362261329779207,0.3093676165291148,0.44469825786079525,0.004652515139289845,-0.4017773724453111,2.222270713171315,1.6973908221788183,2.86735002587622,2.0,
379,3,4.971767195767316e-07,2.444071139592961e-05,0.3907809471601655,0.1586173851161944,0.0985358860488732,0.0959030661142205,0.0512606014848747,0.24264160570095616,0.08663030338853128,0.27498759406187484,-0.09508848051834422,-0.3920924215833302,2.463654808198322,1.609725976499013,2.8255424163832936,3.0,
380,3,1.678962962963085e-07,2.6689386486835e-05,0.4156080501784687,0.162843991659794,0.1061378654798441,0.1019434620340248,0.0479296780020963,0.3042370223356161,0.11292799638320512,0.34930559923680543,-0.034008133231196856,-0.45927987852965463,2.552169679536305,1.5342541200491562,2.779919125038181,3.0,
381,3,7.230084656084781e-07,2.6220809221316105e-05,0.4152764673535052,0.1734542244045388,0.1011798179700326,0.0936391947378933,0.0510555224750937,0.3034388786926241,0.17604903392961374,0.30146607680782284,-0.11897736426918605,-0.3961011539773373,2.3941421699987644,1.7142994876352147,3.021921021228291,3.0,
382,3,9.601947089947214e-07,2.514858741282268e-05,0.4062905346070691,0.1757316500119281,0.0937805251581355,0.1010317423333076,0.0523120371743342,0.28156291636085573,0.1890934104057592,0.22552403892186434,-0.04299174172426718,-0.37178840531356033,2.3119809243159515,1.873840820093375,2.9875900759406018,3.0,
383,3,3.46192592592605e-07,2.9039044517909657e-05,0.4446986648660744,0.1862648435507907,0.1016842152797628,0.0905180906557475,0.051040900139877,0.3718912402129119,0.2473047989654585,0.3064388457000705,-0.1528766409876713,-0.39638759522983125,2.3874407480661617,1.8317790156447726,3.282792173348836,3.0,
384,4,7.400708994709119e-07,3.480547954744484e-05,0.5999870157498896,0.1565036636418703,0.0885589496101613,0.0960395928950568,0.0500668443193528,0.6714021811531471,0.07321481602147753,0.168235299997907,-0.0936659030201892,-0.4156558421830225,3.8336686063415986,1.7672058795290144,4.098009502761233,3.0,
