epoch,sleep_stage,mean,std,delta_power,theta_power,alpha_power,beta_power,gamma_power,delta_power_log,theta_power_log,alpha_power_log,beta_power_log,gamma_power_log,delta_theta_ratio,theta_alpha_ratio,slow_fast_ratio,prev_stage,stft_entropy
1289,1,5.765017501017409e-07,6.076672248191256e-06,0.0676936529336779,0.0618970175770734,0.0500437824445072,0.0485112332085134,0.0314374125690903,-0.8643479436122378,-0.27627790498772575,-0.007482496669676349,-0.1624261940263163,-0.039241747984471956,1.0936320028244517,1.2368325838104843,1.314893562326954,,
1290,1,5.962288156288066e-07,6.6470823238239655e-06,0.0609866310643079,0.069758415591449,0.0622392924835667,0.0557966004403424,0.034415125484248,-0.9686854280142784,-0.15671198370153902,0.21060554700524933,-0.022508787772894633,0.05125565732739323,0.874242287542666,1.1207918987505934,1.107662557163716,1.0,
1291,1,8.85896866096857e-07,6.497506112701835e-06,0.0675799888848475,0.0709315178397525,0.0534651809240834,0.0486542567600885,0.0339119160097024,-0.8660284455052683,-0.14003519600277042,0.05864978587049447,-0.15948227871408202,0.03652596670712021,0.9527363604591214,1.3266613888219942,1.3563544170558184,1.0,
1292,1,6.985055759055667e-07,6.429766154322725e-06,0.0785235281466544,0.0714231727312786,0.0355629145307538,0.0445672957153531,0.0333389379091878,-0.7159423921597838,-0.13312771328028933,-0.34907698936343473,-0.2472211634774931,0.01948554640519423,1.0993970968636337,2.0083045883353363,1.87126464728789,1.0,
1293,1,5.990153032152941e-07,7.330715790001985e-06,0.0844444911615437,0.0705096683636554,0.0566289312199286,0.0526586485060153,0.0339635469618607,-0.6432464279478437,-0.14600022290263717,0.11613912192040217,-0.08039118113710322,0.03804730918096599,1.197612972919577,1.2450954264772687,1.4178440228042848,1.0,
1294,1,6.942308506308415e-07,7.221372754224387e-06,0.0939157107780406,0.0795850383853719,0.0391291938580976,0.0504425714692204,0.0334483712814639,-0.5369433428501008,-0.024924079986475518,-0.25351165242195334,-0.12338613218772633,0.022762616986172362,1.1800525906727697,2.0338523921956644,1.9369810514323604,1.0,
1295,2,8.121182743182651e-07,9.030738270376048e-06,0.1199125027426468,0.0953515922467701,0.0435609323578,0.0564559087299572,0.0328996313643123,-0.29257906687443436,0.1558206661646357,-0.14621991606523407,-0.010761786200903713,0.006220992014731336,1.2575694054789435,2.188874255246321,2.1522569638404896,1.0,
1296,2,6.727622303622213e-07,7.077648979803842e-06,0.0902694666128371,0.0665842680122005,0.0422801922522293,0.0492033877785993,0.0356265548624763,-0.5765416894011631,-0.2032816613969236,-0.17606187471805174,-0.14825911583019374,0.08585074587001318,1.355697278207199,1.5747963684418054,1.7145374069835684,2.0,
1297,2,5.836262922262833e-07,7.69935120606853e-06,0.092552792789212,0.0849133297422859,0.0537734572919527,0.0542703673220033,0.0364318209206836,-0.5515617892378504,0.03988082668201042,0.06439914882947052,-0.05024334606341638,0.10820203655530883,1.0899549354049989,1.5790643740256416,1.6425231209878315,2.0,
1298,2,7.797570207570117e-07,9.183688092721997e-06,0.1302355989529358,0.0826329599592027,0.046980198951981,0.0703141812182602,0.0354118905445699,-0.20999639623577054,0.012658398915031035,-0.07065448808654728,0.20875156030919587,0.07980712336484341,1.5760541914877921,1.7588516641233654,1.8148076983354624,2.0,
